name;id;price;brand;category;spec;img_url
Hisense 50U7QF;AR202007290068;599.95;Hisense;TV;"Téléviseur QLED 4K Ultra HD 50"" (127 cm) 16/9 - Dolby Vision/HDR10+ - Wi-Fi/Bluetooth - Alexa - 2500 PCI - Son 2.0 20W Dolby Atmos";https://media.ldlc.com/r150/ld/products/00/05/73/79/LD0005737958_1.jpg
Thomson 32HE5606;AR202012090032;198.95;Thomson;TV;"Téléviseur LED HD 32"" (81 cm) 16/9 - HDR10 - Android TV - Wi-Fi/Bluetooth - HDMI/USB - Son 2.0 10W";https://media.ldlc.com/r150/ld/products/00/05/76/28/LD0005762811_1.jpg
Sharp 32BG2E;AR202001140048;269.95;Sharp;TV;"Téléviseur LED Full HD 32"" (81 cm) - 1920 x 1080 pixels - Wi-Fi - HDMI - USB - 200 Hz - Son 2.0 Harman/Kardon 20W";https://media.ldlc.com/r150/ld/products/00/05/57/12/LD0005571253_2.jpg
TCL 65C811;AR202005120010;990.0;TCL;TV;"Téléviseur QLED 4K Ultra HD 65"" (165 cm) - Dolby Vision/HDR10+ - Android TV - Wi-Fi/Bluetooth - Assistant Google - Barre de son 2.1 35W Onkyo - Dolby Atmos - 3000 PPI (Dalle native 100 Hz)";https://media.ldlc.com/r150/ld/products/00/05/67/27/LD0005672756_1.jpg
Philips 70PUS8555;AR202006050045;989.0;Philips;TV;"Téléviseur LED 4K Ultra HD 70"" (177 cm) 16/9 - Dolby Vision/HDR10+ - Wi-Fi/Bluetooth - Android TV - Google Assistant - 2000 Hz - Son 2.0 20W Dolby Atmos";https://media.ldlc.com/r150/ld/products/00/05/68/36/LD0005683620_1.jpg
Samsung QE55Q80T;AR202004030030;999.95;Samsung;TV;"Téléviseur QLED 4K Ultra HD 55"" (140 cm) 16/9 - HDR - Wi-Fi/Bluetooth/AirPlay 2 - Assistant Google/Alexa - HDMI 2.1 - Son 2.2.2 60W (Dalle native 100 Hz)";https://media.ldlc.com/r150/ld/products/00/05/65/10/LD0005651046_2.jpg
Hisense 43A7500F;AR202007290070;422.95;Hisense;TV;"Téléviseur LED 4K Ultra HD 43"" (109 cm) 16/9 - Dolby Vision/HDR10+ - Wi-Fi/Bluetooth - Alexa - 2000 PCI - Son 2.0 14W DTS Virtual:X";https://media.ldlc.com/r150/ld/products/00/05/73/79/LD0005737959_1.jpg
Philips 65PUS7855;AR202009020069;729.9;Philips;TV;"Téléviseur LED 4K Ultra HD 65"" (165 cm) 16/9 - Dolby Vision/HDR10+ - Wi-Fi - Amazon Alexa - 1700 Hz - Son 2.0 20W Dolby Atmos";https://media.ldlc.com/r150/ld/products/00/05/71/75/LD0005717590_1.jpg
Hisense 58A7100F;AR202007290055;499.94;Hisense;TV;"Téléviseur LED 4K Ultra HD 58"" (147 cm) 16/9 - HDR10+ - Wi-Fi/Bluetooth - Alexa - 1600 PCI - Son 2.0 16W";https://media.ldlc.com/r150/ld/products/00/05/73/79/LD0005737973_1.jpg
Philips 32PFS6805;AR202011300122;249.95;Philips;TV;"Téléviseur LED Full HD 32"" (81 cm) 16/9 - HDR10/HLG - Wi-Fi - Son 2.0 16W";https://media.ldlc.com/r150/ld/products/00/05/75/69/LD0005756900_1.jpg
Hitachi 24HE2100;AR202003110072;169.94;Hitachi;TV;"Téléviseur LED HD 24"" (61 cm) 16/9 - 1366 x 768 pixels - Wi-Fi - HDMI - USB - Son 2.0 5W";https://media.ldlc.com/r150/ld/products/00/05/63/37/LD0005633770_2.jpg
TCL 55C811;AR202005120008;689.0;TCL;TV;"Téléviseur QLED 4K Ultra HD 55"" (140 cm) - Dolby Vision/HDR10+ - Android TV - Wi-Fi/Bluetooth - Assistant Google - Barre de son 2.1 35W Onkyo - Dolby Atmos - 2800 PPI";https://media.ldlc.com/r150/ld/products/00/05/67/26/LD0005672626_1.jpg
Toshiba 55VL5A63DG;AR202011190107;449.95;Toshiba;TV;"Téléviseur LED 4K Ultra HD 55"" (140 cm) 16/9 - HDR Dolby Vision - Wi-Fi/Bluetooth - Son 2.1 Onkyo 32W";https://media.ldlc.com/r150/ld/products/00/05/75/37/LD0005753702_1.jpg
TCL 65C711;AR202005120009;799.99;TCL;TV;"Téléviseur QLED 4K Ultra HD 65"" (165 cm) - Dolby Vision/HDR10+ - Android TV - Wi-Fi/Bluetooth - Assistant Google - Son 2.0 20W Dolby Atmos - 2400 PPI";https://media.ldlc.com/r150/ld/products/00/05/67/25/LD0005672523_1.jpg
Philips 50PUS7805;AR202006050011;499.94;Philips;TV;"Téléviseur LED 4K Ultra HD 50"" (127 cm) 16/9 - Dolby Vision/HDR10+ - Wi-Fi - Amazon Alexa - 1700 Hz - Son 2.0 20W Dolby Atmos";https://media.ldlc.com/r150/ld/products/00/05/68/36/LD0005683685_1.jpg
Sony KD-49XH8096;AR202005120080;749.95;Sony;TV;"Téléviseur LED 4K Ultra HD 49"" (124 cm) 16/9 - HDR Dolby Vision - Android TV - Wi-Fi/Bluetooth/AirPlay - Google Assistant - 400 Hz - Son 2.0 20W";https://media.ldlc.com/r150/ld/products/00/05/69/30/LD0005693028_1.jpg
